elec_pres_1;elec_pres_2;zona_u_r;region;bienestar_2;bienestar_3;percepcion_1_a;percepcion_1_b;percepcion_1_c;percepcion_2;percepcion_3;percepcion_5;percepcion_6;percepcion_4;eval_gob_1;iden_pol_3;iden_pol_3_a;iden_pol_2;eval_act_pol_1_p;eval_act_pol_1_co;eval_act_pol_1_gc;eval_act_pol_1_gd;eval_act_pol_1_ge;eval_act_pol_1_dh;eval_act_pol_1_fo;eval_act_pol_1_cp;eval_act_pol_1_gf;eval_act_pol_1_fe;eval_act_pol_1_fh;eval_act_pol_1_fx;eval_act_pol_1_ag;eval_act_pol_1_gg;eval_act_pol_1_gh;eval_act_pol_1_en;eval_act_pol_1_gi;eval_act_pol_1_fy;eval_act_pol_1_dv;eval_act_pol_1_ae;eval_act_pol_1_gj;eval_act_pol_1_gk;eval_act_pol_1_gl;confianza_6_a;confianza_6_c;confianza_6_b;confianza_6_j;confianza_6_d;confianza_6_e;confianza_6_f;confianza_6_n;confianza_6_x;confianza_6_g;confianza_6_h;confianza_6_i;confianza_6_k;confianza_6_s;confianza_6_o;confianza_6_p;confianza_6_r;confianza_6_y;confianza_6_m;confianza_8_a;interes_pol_2_a;interes_pol_2_h;interes_pol_2_c;interes_pol_2_d;interes_pol_2_e;interes_pol_1_b;democracia_21;democracia_20;democracia_34;democracia_19;pobreza_62;pobreza_63;constitucion_4_a;constitucion_4_b;constitucion_4_c;constitucion_5_a;constitucion_5_b;constitucion_5_c;constitucion_5_d;constitucion_6;constitucion_3;interes_pol_23;rol_gobierno_27;estallido_5;ciudadania_29_a;ciudadania_29_b;ciudadania_29_c;ciudadania_29_d;ciudadania_29_e;ciudadania_30_a;ciudadania_30_b;ciudadania_30_d;sexo;edad;info_enc_23;esc_nivel_1;info_enc_56;info_enc_57;info_hogar_28_b;info_hogar_21_n;info_hogar_31;religion_1;religion_2;info_enc_58;info_enc_30;bienestar_21;info_enc_59;info_enc_54;gse;pond;estrato;secu
Otros;GABRIEL BORIC;URBANA;Región 13;10.- Totalmente satisfecho;5;1.- PENSIONES;3.- DELINCUENCIA, ASALTOS, ROBOS;10.- SALUD;3. - NI BUENA NI MALA;8. - No sabe ( no leer );3. - NI BUENA NI MALA;2. - MEJOR;3. - EN DECADENCIA;2. - DESAPRUEBA;15 Ninguno;77.- NINGUNO (no leer);88.- No sabe (no leer);2. - Negativa;4. - Positiva;2. - Negativa;5. - Muy Positiva;2. - Negativa;2. - Negativa;2. - Negativa;4. - Positiva;6. - No conoce a la persona;4. - Positiva;1. - Muy Negativa;2. - Negativa;5. - Muy Positiva;2. - Negativa;2. - Negativa;4. - Positiva;5. - Muy Positiva;2. - Negativa;2. - Negativa;4. - Positiva;6. - No conoce a la persona;4. - Positiva;2. - Negativa;4.- Nada de confianza;2.- Bastante confianza;1.- Mucha confianza;4.- Nada de confianza;2.- Bastante confianza;2.- Bastante confianza;2.- Bastante confianza;1.- Mucha confianza;2.- Bastante confianza;3.- Poca confianza;1.- Mucha confianza;4.- Nada de confianza;2.- Bastante confianza;2.- Bastante confianza;1.- Mucha confianza;2.- Bastante confianza;1.- Mucha confianza;4.- Nada de confianza;1.- Mucha confianza;4.- CASI SIEMPRE HAY QUE SER CUIDADOSO;3.- Nunca;3.- Nunca;3.- Nunca;3.- Nunca;3.- Nunca;5.- NADA INTERESADO;8 No sabe;3.- REGULAR;3.- REGULAR;5;1.- Los ingresos deberían hacerse más iguales, aunque no se premie el esfuerzo individual;10.- La principal responsabilidad por el sustento económico de las personas está en las personas mismas;No;;2.- RECHAZO;2.- NO;;10.- NINGUNA (no leer);Por que andaba en el sur;2.- DEFIENDAN SUS POSICIONES, AUNQUE ESO IMPLIQUE NO LLEGAR A ACUERDOS;1.- PROBABLEMENTE AYUDE A RESOLVER LOS PROBLEMAS;7.- MUY DISPUESTO;2.- NO OBEDECER SI SE CONSIDERA QUE LA LEY ES INJUSTA;5.- LAS RECHAZÓ;5.- NUNCA;5.- NUNCA;5.- NUNCA;5.- NUNCA;5.- NUNCA;5.- NUNCA;5.- NUNCA;5.- NUNCA;2. - MUJER;61;No;2.- Básica incompleta / primaria o preparatoria incompleta;1.- Actualmente está trabajando;Si;;2.- No;1.- Si;2. - EVANGELICA;8.- NUNCA;2.- No;;2.- Les alcanza justo, sin grandes dificultades;En Chile;;4. - D;.19694483;19;85121
PAMELA JILES;NO SABE / NO CONTESTA;URBANA;Región 13;5;4;10.- SALUD;7.- POBREZA;6.- EMPLEO;2. - MALA;2. - NO CAMBIARÁ;3. - NI BUENA NI MALA;3. - IGUAL;3. - EN DECADENCIA;1. - APRUEBA;15 Ninguno;77.- NINGUNO (no leer);99.- No contesta (no leer);4. - Positiva;2. - Negativa;2. - Negativa;2. - Negativa;2. - Negativa;6. - No conoce a la persona;6. - No conoce a la persona;2. - Negativa;2. - Negativa;2. - Negativa;2. - Negativa;1. - Muy Negativa;4. - Positiva;6. - No conoce a la persona;2. - Negativa;2. - Negativa;4. - Positiva;6. - No conoce a la persona;2. - Negativa;2. - Negativa;6. - No conoce a la persona;2. - Negativa;6. - No conoce a la persona;4.- Nada de confianza;2.- Bastante confianza;1.- Mucha confianza;4.- Nada de confianza;4.- Nada de confianza;3.- Poca confianza;4.- Nada de confianza;4.- Nada de confianza;4.- Nada de confianza;2.- Bastante confianza;2.- Bastante confianza;4.- Nada de confianza;2.- Bastante confianza;4.- Nada de confianza;2.- Bastante confianza;4.- Nada de confianza;2.- Bastante confianza;4.- Nada de confianza;4.- Nada de confianza;4.- CASI SIEMPRE HAY QUE SER CUIDADOSO;3.- Nunca;3.- Nunca;3.- Nunca;3.- Nunca;3.- Nunca;5.- NADA INTERESADO;2.- EN ALGUNAS CIRCUNSTANCIAS, UN GOBIERNO AUTORITARIO PUEDE SER PREFERIBLE A UNO DEMOCRÁTICO;4.- MAL;3.- REGULAR;6;8;6;Si;99.- No responde (no leer);;1.- SI;88.- No sabe (no leer);;-;1.- PRIVILEGIEN LOS ACUERDOS, AUNQUE TENGAN QUE CEDER;2.- PROBABLEMENTE DEJE LAS COSAS IGUAL;4;2.- NO OBEDECER SI SE CONSIDERA QUE LA LEY ES INJUSTA;3.- NO LAS APOYÓ NI LAS RECHAZÓ;4.- CASI NUNCA;5.- NUNCA;5.- NUNCA;5.- NUNCA;5.- NUNCA;1.- SIEMPRE;1.- SIEMPRE;1.- SIEMPRE;2. - MUJER;62;No;4.- Media científico humanista o media técnico profesional incompleta/humanidades incompletas;1.- Actualmente está trabajando;Si;;2.- No;1.- Si;2. - EVANGELICA;2.- UNA VEZ A LA SEMANA;2.- No;;3.- No les alcanza, tienen algunas dificultades;En Chile;;3. - C3;.5908344800000001;19;85121
GABRIEL BORIC;GABRIEL BORIC;URBANA;Región 13;7;6;3.- DELINCUENCIA, ASALTOS, ROBOS;9.- NARCOTRÁFICO;2.- CORRUPCIÓN;3. - NI BUENA NI MALA;2. - NO CAMBIARÁ;3. - NI BUENA NI MALA;3. - IGUAL;2. - ESTANCADO;1. - APRUEBA;15 Ninguno;77.- NINGUNO (no leer);6;4. - Positiva;2. - Negativa;2. - Negativa;3. - Ni negativa ni positiva;6. - No conoce a la persona;6. - No conoce a la persona;6. - No conoce a la persona;2. - Negativa;2. - Negativa;3. - Ni negativa ni positiva;3. - Ni negativa ni positiva;1. - Muy Negativa;3. - Ni negativa ni positiva;4. - Positiva;6. - No conoce a la persona;2. - Negativa;2. - Negativa;4. - Positiva;2. - Negativa;4. - Positiva;2. - Negativa;4. - Positiva;2. - Negativa;3.- Poca confianza;3.- Poca confianza;3.- Poca confianza;4.- Nada de confianza;3.- Poca confianza;3.- Poca confianza;3.- Poca confianza;4.- Nada de confianza;3.- Poca confianza;4.- Nada de confianza;4.- Nada de confianza;4.- Nada de confianza;4.- Nada de confianza;3.- Poca confianza;3.- Poca confianza;4.- Nada de confianza;2.- Bastante confianza;3.- Poca confianza;3.- Poca confianza;3.- NORMALMENTE HAY QUE SER CUIDADOSO;2.- A veces;2.- A veces;2.- A veces;2.- A veces;3.- Nunca;3.- ALGO INTERESADO;1.- LA DEMOCRACIA ES PREFERIBLE A CUALQUIER OTRA FORMA DE GOBIERNO;3.- REGULAR;3.- REGULAR;9;8;4;Si;1.- APRUEBO;;2.- NO;;88.- No sabe (no leer);salud;2.- DEFIENDAN SUS POSICIONES, AUNQUE ESO IMPLIQUE NO LLEGAR A ACUERDOS;2.- PROBABLEMENTE DEJE LAS COSAS IGUAL;5;1.- OBEDECER LAS LEYES SIEMPRE;1.- LAS APOYÓ;1.- SIEMPRE;5.- NUNCA;5.- NUNCA;5.- NUNCA;5.- NUNCA;1.- SIEMPRE;1.- SIEMPRE;1.- SIEMPRE;1. - HOMBRE;47;No;2.- Básica incompleta / primaria o preparatoria incompleta;1.- Actualmente está trabajando;Si;;1.- Si;1.- Si;1. - CATOLICA;8.- NUNCA;2.- No;;2.- Les alcanza justo, sin grandes dificultades;En Chile;;4. - D;.422061;19;85124
GABRIEL BORIC;SEBASTIAN SICHEL;URBANA;Región 13;8;5;5.- EDUCACIÓN;1.- PENSIONES;13.- VIVIENDA;3. - NI BUENA NI MALA;1. - MEJORARÁ;4. - BUENA;3. - IGUAL;3. - EN DECADENCIA;1. - APRUEBA;15 Ninguno;77.- NINGUNO (no leer);88.- No sabe (no leer);4. - Positiva;2. - Negativa;2. - Negativa;4. - Positiva;6. - No conoce a la persona;6. - No conoce a la persona;2. - Negativa;6. - No conoce a la persona;6. - No conoce a la persona;6. - No conoce a la persona;4. - Positiva;2. - Negativa;3. - Ni negativa ni positiva;4. - Positiva;4. - Positiva;6. - No conoce a la persona;2. - Negativa;6. - No conoce a la persona;4. - Positiva;4. - Positiva;6. - No conoce a la persona;6. - No conoce a la persona;4. - Positiva;3.- Poca confianza;2.- Bastante confianza;2.- Bastante confianza;4.- Nada de confianza;3.- Poca confianza;3.- Poca confianza;4.- Nada de confianza;2.- Bastante confianza;3.- Poca confianza;2.- Bastante confianza;3.- Poca confianza;3.- Poca confianza;3.- Poca confianza;2.- Bastante confianza;3.- Poca confianza;3.- Poca confianza;2.- Bastante confianza;3.- Poca confianza;3.- Poca confianza;4.- CASI SIEMPRE HAY QUE SER CUIDADOSO;1.- Frecuentemente;1.- Frecuentemente;1.- Frecuentemente;1.- Frecuentemente;1.- Frecuentemente;2.- BASTANTE INTERESADO;1.- LA DEMOCRACIA ES PREFERIBLE A CUALQUIER OTRA FORMA DE GOBIERNO;3.- REGULAR;2.- BIEN;10.- Que haya orden público y seguridad ciudadana;10.- Debería premiarse el esfuerzo individual, aunque se produzcan importantes diferencias de ingresos;10.- La principal responsabilidad por el sustento económico de las personas está en las personas mismas;Si;1.- APRUEBO;;1.- SI;99.- No responde (no leer);;-;1.- PRIVILEGIEN LOS ACUERDOS, AUNQUE TENGAN QUE CEDER;1.- PROBABLEMENTE AYUDE A RESOLVER LOS PROBLEMAS;7.- MUY DISPUESTO;2.- NO OBEDECER SI SE CONSIDERA QUE LA LEY ES INJUSTA;4.- INICIALMENTE LAS APOYÓ, PERO DESPUÉS LAS RECHAZÓ;1.- SIEMPRE;1.- SIEMPRE;5.- NUNCA;5.- NUNCA;5.- NUNCA;3.- A VECES;1.- SIEMPRE;1.- SIEMPRE;1. - HOMBRE;35;No;9.- Universitaria completa (carreras 4 o más años) / oficial de FFAA/carabineros;1.- Actualmente está trabajando;Si;;2.- No;1.- Si;9. - NINGUNA;8.- NUNCA;2.- No;;2.- Les alcanza justo, sin grandes dificultades;En Chile;;3. - C3;.89566888;19;85125
GABRIEL BORIC;GABRIEL BORIC;URBANA;Región 13;10.- Totalmente satisfecho;5;6.- EMPLEO;3.- DELINCUENCIA, ASALTOS, ROBOS;1.- PENSIONES;2. - MALA;2. - NO CAMBIARÁ;2. - MALA;2. - MEJOR;8. - No sabe ( no leer );2. - DESAPRUEBA;15 Ninguno;77.- NINGUNO (no leer);88.- No sabe (no leer);6. - No conoce a la persona;6. - No conoce a la persona;6. - No conoce a la persona;6. - No conoce a la persona;6. - No conoce a la persona;6. - No conoce a la persona;6. - No conoce a la persona;6. - No conoce a la persona;6. - No conoce a la persona;6. - No conoce a la persona;6. - No conoce a la persona;6. - No conoce a la persona;5. - Muy Positiva;6. - No conoce a la persona;6. - No conoce a la persona;6. - No conoce a la persona;3. - Ni negativa ni positiva;6. - No conoce a la persona;6. - No conoce a la persona;6. - No conoce a la persona;6. - No conoce a la persona;6. - No conoce a la persona;6. - No conoce a la persona;88 No sabe;4.- Nada de confianza;3.- Poca confianza;4.- Nada de confianza;4.- Nada de confianza;4.- Nada de confianza;4.- Nada de confianza;3.- Poca confianza;4.- Nada de confianza;4.- Nada de confianza;4.- Nada de confianza;4.- Nada de confianza;4.- Nada de confianza;4.- Nada de confianza;4.- Nada de confianza;4.- Nada de confianza;4.- Nada de confianza;4.- Nada de confianza;4.- Nada de confianza;4.- CASI SIEMPRE HAY QUE SER CUIDADOSO;3.- Nunca;3.- Nunca;3.- Nunca;3.- Nunca;3.- Nunca;5.- NADA INTERESADO;1.- LA DEMOCRACIA ES PREFERIBLE A CUALQUIER OTRA FORMA DE GOBIERNO;2.- BIEN;3.- REGULAR;6;4;6;No;;99.- No responde (no leer);99.- No responde (no leer);;99.- No responde (no leer);-;2.- DEFIENDAN SUS POSICIONES, AUNQUE ESO IMPLIQUE NO LLEGAR A ACUERDOS;2.- PROBABLEMENTE DEJE LAS COSAS IGUAL;1.- NADA DISPUESTO;1.- OBEDECER LAS LEYES SIEMPRE;1.- LAS APOYÓ;5.- NUNCA;5.- NUNCA;5.- NUNCA;5.- NUNCA;5.- NUNCA;5.- NUNCA;5.- NUNCA;5.- NUNCA;2. - MUJER;30;No;2.- Básica incompleta / primaria o preparatoria incompleta;1.- Actualmente está trabajando;Si;;2.- No;1.- Si;9. - NINGUNA;8.- NUNCA;2.- No;;3.- No les alcanza, tienen algunas dificultades;En Chile;;3. - C3;.62405444;19;85126
GABRIEL BORIC;YASNA PROVOSTE;URBANA;Región 13;8;5;1.- PENSIONES;8.- MEDIO AMBIENTE;4.- DERECHOS HUMANOS;3. - NI BUENA NI MALA;1. - MEJORARÁ;4. - BUENA;3. - IGUAL;1. - PROGRESANDO;2. - DESAPRUEBA;16 Convergencia Social (CS);;3;2. - Negativa;4. - Positiva;4. - Positiva;3. - Ni negativa ni positiva;3. - Ni negativa ni positiva;3. - Ni negativa ni positiva;6. - No conoce a la persona;3. - Ni negativa ni positiva;6. - No conoce a la persona;2. - Negativa;5. - Muy Positiva;4. - Positiva;2. - Negativa;3. - Ni negativa ni positiva;3. - Ni negativa ni positiva;3. - Ni negativa ni positiva;2. - Negativa;1. - Muy Negativa;1. - Muy Negativa;2. - Negativa;5. - Muy Positiva;4. - Positiva;6. - No conoce a la persona;3.- Poca confianza;4.- Nada de confianza;4.- Nada de confianza;3.- Poca confianza;2.- Bastante confianza;3.- Poca confianza;4.- Nada de confianza;1.- Mucha confianza;4.- Nada de confianza;2.- Bastante confianza;3.- Poca confianza;3.- Poca confianza;3.- Poca confianza;4.- Nada de confianza;2.- Bastante confianza;3.- Poca confianza;3.- Poca confianza;2.- Bastante confianza;2.- Bastante confianza;3.- NORMALMENTE HAY QUE SER CUIDADOSO;2.- A veces;2.- A veces;2.- A veces;2.- A veces;1.- Frecuentemente;1.- MUY INTERESADO;1.- LA DEMOCRACIA ES PREFERIBLE A CUALQUIER OTRA FORMA DE GOBIERNO;3.- REGULAR;2.- BIEN;3;7;3;Si;1.- APRUEBO;;1.- SI;4.- APRUEBO DIGNIDAD (PC, RD, COMUNES, CONVERGENCIA SOCIAL, FRVS, PARTIDO IGUALDAD);;-;2.- DEFIENDAN SUS POSICIONES, AUNQUE ESO IMPLIQUE NO LLEGAR A ACUERDOS;1.- PROBABLEMENTE AYUDE A RESOLVER LOS PROBLEMAS;7.- MUY DISPUESTO;2.- NO OBEDECER SI SE CONSIDERA QUE LA LEY ES INJUSTA;1.- LAS APOYÓ;5.- NUNCA;5.- NUNCA;5.- NUNCA;5.- NUNCA;5.- NUNCA;5.- NUNCA;5.- NUNCA;5.- NUNCA;1. - HOMBRE;38;Si;9.- Universitaria completa (carreras 4 o más años) / oficial de FFAA/carabineros;1.- Actualmente está trabajando;Si;;1.- Si;1.- Si;1. - CATOLICA;7-. MENOS FRECUENTE QUE UNA VEZ AL AÑO;2.- No;;2.- Les alcanza justo, sin grandes dificultades;En Chile;;3. - C3;.647701;19;85127
GABRIEL BORIC;GABRIEL BORIC;URBANA;Región 13;6;4;16 Desigualdad;2.- CORRUPCIÓN;10.- SALUD;3. - NI BUENA NI MALA;2. - NO CAMBIARÁ;3. - NI BUENA NI MALA;3. - IGUAL;2. - ESTANCADO;2. - DESAPRUEBA;15 Ninguno;77.- NINGUNO (no leer);3;1. - Muy Negativa;3. - Ni negativa ni positiva;3. - Ni negativa ni positiva;3. - Ni negativa ni positiva;6. - No conoce a la persona;6. - No conoce a la persona;6. - No conoce a la persona;6. - No conoce a la persona;6. - No conoce a la persona;2. - Negativa;4. - Positiva;3. - Ni negativa ni positiva;1. - Muy Negativa;2. - Negativa;3. - Ni negativa ni positiva;3. - Ni negativa ni positiva;1. - Muy Negativa;2. - Negativa;1. - Muy Negativa;2. - Negativa;4. - Positiva;4. - Positiva;6. - No conoce a la persona;4.- Nada de confianza;3.- Poca confianza;4.- Nada de confianza;4.- Nada de confianza;4.- Nada de confianza;3.- Poca confianza;4.- Nada de confianza;2.- Bastante confianza;4.- Nada de confianza;2.- Bastante confianza;4.- Nada de confianza;4.- Nada de confianza;4.- Nada de confianza;3.- Poca confianza;2.- Bastante confianza;3.- Poca confianza;2.- Bastante confianza;2.- Bastante confianza;2.- Bastante confianza;3.- NORMALMENTE HAY QUE SER CUIDADOSO;2.- A veces;2.- A veces;1.- Frecuentemente;2.- A veces;1.- Frecuentemente;1.- MUY INTERESADO;1.- LA DEMOCRACIA ES PREFERIBLE A CUALQUIER OTRA FORMA DE GOBIERNO;3.- REGULAR;3.- REGULAR;4;6;5;Si;1.- APRUEBO;;1.- SI;4.- APRUEBO DIGNIDAD (PC, RD, COMUNES, CONVERGENCIA SOCIAL, FRVS, PARTIDO IGUALDAD);;-;1.- PRIVILEGIEN LOS ACUERDOS, AUNQUE TENGAN QUE CEDER;1.- PROBABLEMENTE AYUDE A RESOLVER LOS PROBLEMAS;7.- MUY DISPUESTO;1.- OBEDECER LAS LEYES SIEMPRE;1.- LAS APOYÓ;1.- SIEMPRE;5.- NUNCA;5.- NUNCA;5.- NUNCA;5.- NUNCA;3.- A VECES;3.- A VECES;3.- A VECES;1. - HOMBRE;28;No;9.- Universitaria completa (carreras 4 o más años) / oficial de FFAA/carabineros;1.- Actualmente está trabajando;Si;;2.- No;1.- Si;9. - NINGUNA;8.- NUNCA;2.- No;;2.- Les alcanza justo, sin grandes dificultades;En Chile;;3. - C3;.7279673;19;85129
Otros;NO SABE / NO CONTESTA;URBANA;Región 13;4;4;1.- PENSIONES;3.- DELINCUENCIA, ASALTOS, ROBOS;5.- EDUCACIÓN;3. - NI BUENA NI MALA;2. - NO CAMBIARÁ;2. - MALA;3. - IGUAL;3. - EN DECADENCIA;1. - APRUEBA;13 UDI;;6;4. - Positiva;2. - Negativa;2. - Negativa;2. - Negativa;6. - No conoce a la persona;6. - No conoce a la persona;6. - No conoce a la persona;6. - No conoce a la persona;6. - No conoce a la persona;6. - No conoce a la persona;6. - No conoce a la persona;6. - No conoce a la persona;4. - Positiva;6. - No conoce a la persona;6. - No conoce a la persona;6. - No conoce a la persona;2. - Negativa;6. - No conoce a la persona;4. - Positiva;4. - Positiva;6. - No conoce a la persona;6. - No conoce a la persona;2. - Negativa;2.- Bastante confianza;1.- Mucha confianza;4.- Nada de confianza;4.- Nada de confianza;4.- Nada de confianza;4.- Nada de confianza;2.- Bastante confianza;3.- Poca confianza;3.- Poca confianza;2.- Bastante confianza;1.- Mucha confianza;2.- Bastante confianza;3.- Poca confianza;4.- Nada de confianza;3.- Poca confianza;3.- Poca confianza;1.- Mucha confianza;4.- Nada de confianza;2.- Bastante confianza;2.- NORMALMENTE SE PUEDE CONFIAR EN LA GENTE;1.- Frecuentemente;2.- A veces;3.- Nunca;2.- A veces;3.- Nunca;3.- ALGO INTERESADO;1.- LA DEMOCRACIA ES PREFERIBLE A CUALQUIER OTRA FORMA DE GOBIERNO;3.- REGULAR;3.- REGULAR;10.- Que haya orden público y seguridad ciudadana;10.- Debería premiarse el esfuerzo individual, aunque se produzcan importantes diferencias de ingresos;10.- La principal responsabilidad por el sustento económico de las personas está en las personas mismas;Si;1.- APRUEBO;;2.- NO;;10.- NINGUNA (no leer);Por que me cambiaron y fue muy lejos donde me mandaron;1.- PRIVILEGIEN LOS ACUERDOS, AUNQUE TENGAN QUE CEDER;2.- PROBABLEMENTE DEJE LAS COSAS IGUAL;6;2.- NO OBEDECER SI SE CONSIDERA QUE LA LEY ES INJUSTA;5.- LAS RECHAZÓ;5.- NUNCA;5.- NUNCA;5.- NUNCA;5.- NUNCA;5.- NUNCA;1.- SIEMPRE;1.- SIEMPRE;2.- CASI SIEMPRE;2. - MUJER;72;No;9.- Universitaria completa (carreras 4 o más años) / oficial de FFAA/carabineros;1.- Actualmente está trabajando;Si;;2.- No;1.- Si;1. - CATOLICA;3.- 2 ó 3 VECES AL MES;2.- No;;3.- No les alcanza, tienen algunas dificultades;En Chile;;2. - C2;.49727151;19;85131
NO SABE / NO CONTESTA;SEBASTIAN SICHEL;URBANA;Región 13;6;3;3.- DELINCUENCIA, ASALTOS, ROBOS;1.- PENSIONES;9.- NARCOTRÁFICO;2. - MALA;1. - MEJORARÁ;2. - MALA;3. - IGUAL;3. - EN DECADENCIA;2. - DESAPRUEBA;15 Ninguno;77.- NINGUNO (no leer);88.- No sabe (no leer);1. - Muy Negativa;4. - Positiva;3. - Ni negativa ni positiva;2. - Negativa;6. - No conoce a la persona;6. - No conoce a la persona;6. - No conoce a la persona;6. - No conoce a la persona;6. - No conoce a la persona;2. - Negativa;4. - Positiva;4. - Positiva;2. - Negativa;4. - Positiva;6. - No conoce a la persona;6. - No conoce a la persona;4. - Positiva;6. - No conoce a la persona;6. - No conoce a la persona;1. - Muy Negativa;4. - Positiva;3. - Ni negativa ni positiva;6. - No conoce a la persona;4.- Nada de confianza;3.- Poca confianza;3.- Poca confianza;4.- Nada de confianza;4.- Nada de confianza;4.- Nada de confianza;4.- Nada de confianza;3.- Poca confianza;4.- Nada de confianza;3.- Poca confianza;3.- Poca confianza;4.- Nada de confianza;4.- Nada de confianza;4.- Nada de confianza;4.- Nada de confianza;4.- Nada de confianza;4.- Nada de confianza;2.- Bastante confianza;2.- Bastante confianza;4.- CASI SIEMPRE HAY QUE SER CUIDADOSO;2.- A veces;3.- Nunca;3.- Nunca;2.- A veces;3.- Nunca;4.- NO MUY INTERESADO;1.- LA DEMOCRACIA ES PREFERIBLE A CUALQUIER OTRA FORMA DE GOBIERNO;3.- REGULAR;3.- REGULAR;10.- Que haya orden público y seguridad ciudadana;6;5;Si;1.- APRUEBO;;1.- SI;7.- OTRAS LISTAS DE INDEPENDIENTES;;-;1.- PRIVILEGIEN LOS ACUERDOS, AUNQUE TENGAN QUE CEDER;1.- PROBABLEMENTE AYUDE A RESOLVER LOS PROBLEMAS;7.- MUY DISPUESTO;1.- OBEDECER LAS LEYES SIEMPRE;5.- LAS RECHAZÓ;5.- NUNCA;5.- NUNCA;5.- NUNCA;5.- NUNCA;5.- NUNCA;4.- CASI NUNCA;4.- CASI NUNCA;4.- CASI NUNCA;2. - MUJER;76;No;2.- Básica incompleta / primaria o preparatoria incompleta;1.- Actualmente está trabajando;Si;;2.- No;1.- Si;2. - EVANGELICA;2.- UNA VEZ A LA SEMANA;2.- No;;3.- No les alcanza, tienen algunas dificultades;En Chile;;4. - D;.45502681;19;85134
NO SABE / NO CONTESTA;NO SABE / NO CONTESTA;URBANA;Región 13;3;4;3.- DELINCUENCIA, ASALTOS, ROBOS;9.- NARCOTRÁFICO;14.- INMIGRACIÓN;2. - MALA;2. - NO CAMBIARÁ;3. - NI BUENA NI MALA;3. - IGUAL;2. - ESTANCADO;2. - DESAPRUEBA;15 Ninguno;77.- NINGUNO (no leer);88.- No sabe (no leer);2. - Negativa;2. - Negativa;6. - No conoce a la persona;6. - No conoce a la persona;6. - No conoce a la persona;6. - No conoce a la persona;6. - No conoce a la persona;6. - No conoce a la persona;6. - No conoce a la persona;3. - Ni negativa ni positiva;4. - Positiva;2. - Negativa;4. - Positiva;3. - Ni negativa ni positiva;6. - No conoce a la persona;1. - Muy Negativa;4. - Positiva;6. - No conoce a la persona;1. - Muy Negativa;3. - Ni negativa ni positiva;6. - No conoce a la persona;5. - Muy Positiva;6. - No conoce a la persona;4.- Nada de confianza;3.- Poca confianza;4.- Nada de confianza;4.- Nada de confianza;4.- Nada de confianza;2.- Bastante confianza;4.- Nada de confianza;2.- Bastante confianza;4.- Nada de confianza;3.- Poca confianza;3.- Poca confianza;4.- Nada de confianza;4.- Nada de confianza;4.- Nada de confianza;4.- Nada de confianza;4.- Nada de confianza;3.- Poca confianza;4.- Nada de confianza;88 No sabe;4.- CASI SIEMPRE HAY QUE SER CUIDADOSO;3.- Nunca;3.- Nunca;3.- Nunca;3.- Nunca;3.- Nunca;5.- NADA INTERESADO;3.- A LA GENTE COMO UNO, LE DA LO MISMO UN RÉGIMEN DEMOCRÁTICO QUE UNO AUTORITARIO;3.- REGULAR;3.- REGULAR;10.- Que haya orden público y seguridad ciudadana;8;6;No;;3.- NINGUNO (no leer);2.- NO;;10.- NINGUNA (no leer);Porque no entiendo mucho la parte de la politica y lo que se votaba;88.- No sabe (no leer);2.- PROBABLEMENTE DEJE LAS COSAS IGUAL;1.- NADA DISPUESTO;1.- OBEDECER LAS LEYES SIEMPRE;1.- LAS APOYÓ;1.- SIEMPRE;1.- SIEMPRE;5.- NUNCA;5.- NUNCA;5.- NUNCA;4.- CASI NUNCA;4.- CASI NUNCA;4.- CASI NUNCA;1. - HOMBRE;60;No;3.- Básica completa / primaria o preparatoria completa;1.- Actualmente está trabajando;Si;;2.- No;2.- No;1. - CATOLICA;8.- NUNCA;2.- No;;3.- No les alcanza, tienen algunas dificultades;En Chile;;4. - D;.20427305;19;85135
